2026-05-25 19:02:03.965 CST [51400] LOG:  starting PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit
2026-05-25 19:02:03.980 CST [51400] LOG:  could not bind IPv6 address "::1": Only one usage of each socket address (protocol/network address/port) is normally permitted.
	
2026-05-25 19:02:03.980 CST [51400] HINT:  Is another postmaster already running on port 4553? If not, wait a few seconds and retry.
2026-05-25 19:02:03.983 CST [51400] LOG:  listening on IPv4 address "127.0.0.1", port 4553
2026-05-25 19:02:04.197 CST [56024] LOG:  database system was shut down at 2026-05-25 19:02:02 CST
2026-05-25 19:02:04.225 CST [51400] LOG:  database system is ready to accept connections
2026-05-25 19:06:27.276 CST [57272] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-25 19:06:27.276 CST [57272] LOG:  unexpected EOF on client connection with an open transaction
2026-05-25 19:07:04.258 CST [57684] LOG:  checkpoint starting: time
2026-05-25 19:07:19.287 CST [55240] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-25 19:09:08.301 CST [57684] LOG:  checkpoint complete: wrote 1131 buffers (6.9%), wrote 3 SLRU buffers; 1 WAL file(s) added, 0 removed, 0 recycled; write=123.163 s, sync=0.773 s, total=124.044 s; sync files=523, longest=0.004 s, average=0.002 s; distance=5983 kB, estimate=5983 kB; lsn=0/1DC8EA0, redo lsn=0/1DC8E10
2026-05-25 19:12:04.330 CST [57684] LOG:  checkpoint starting: time
2026-05-25 19:12:04.789 CST [57684] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.433 s, sync=0.010 s, total=0.459 s; sync files=5, longest=0.003 s, average=0.002 s; distance=19 kB, estimate=5386 kB; lsn=0/1DCDC90, redo lsn=0/1DCDC38
2026-05-25 19:17:04.789 CST [57684] LOG:  checkpoint starting: time
2026-05-25 19:17:07.558 CST [57684] LOG:  checkpoint complete: wrote 25 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.717 s, sync=0.032 s, total=2.770 s; sync files=16, longest=0.003 s, average=0.002 s; distance=6 kB, estimate=4848 kB; lsn=0/1DCF538, redo lsn=0/1DCF4E0
2026-05-25 19:17:42.160 CST [48828] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
